time,ultrasonic,pressure
22955438,110.60,1023.00
22961856,110.51,1023.00
22967573,110.63,1023.00
22970517,110.52,1023.00
22980393,110.63,1022.00
22982467,110.69,1021.00
22989584,110.49,1022.00
22995317,110.59,1023.00
23001034,110.59,1023.00
23007420,110.56,1023.00
23013862,110.60,1023.00
23022369,110.56,1023.00
23029490,110.68,1023.00
23033837,110.61,1023.00
23038168,110.45,1023.00
23044570,110.37,1023.00
23049585,110.55,1022.00
23057385,110.49,1023.00
23065925,110.44,1023.00
23073012,110.45,1022.00
23077325,110.61,1023.00
23080084,110.74,1023.00
23088575,110.68,1022.00
23094275,110.60,1023.00
23102081,110.64,1023.00
23109869,110.71,1023.00
23112616,110.61,1023.00
23119035,110.60,1023.00
23126122,110.68,1022.00
23131171,110.73,1023.00
23135518,110.62,1023.00
23138259,110.65,1023.00
23143316,110.68,1023.00
23147663,110.61,1023.00
23156867,110.67,1023.00
23163269,110.88,1023.00
23171801,110.62,1023.00
23176115,110.67,1022.00
23183853,110.62,1022.00
23190238,110.76,1023.00
23198027,110.75,1022.00
23205799,110.84,1023.00
23207856,110.82,1023.00
23214241,110.78,1023.00
23217000,110.66,1023.00
23219074,111.00,1023.00
23223388,110.99,1022.00
23230481,110.83,1023.00
23234110,110.89,1022.00
23239126,110.77,1023.00
23241199,110.85,1023.00
23248320,110.95,1022.00
23251775,110.77,1022.00
23257492,110.95,1023.00
23260251,110.91,1023.00
23265968,110.84,1022.00
23268042,111.07,1023.00
23273743,110.90,1023.00
23278799,111.05,1022.00
23283815,110.97,1022.00
23285890,110.77,1023.00
23289518,110.98,1023.00
23294558,111.11,1023.00
23300977,110.91,1023.00
23303051,111.04,1023.00
23305125,110.94,1023.00
23307884,110.94,1023.00
23311536,111.11,1023.00
23317938,111.00,1023.00
23325070,110.97,1023.00
23329384,111.07,1023.00
23334401,111.09,1022.00
23340084,111.07,1023.00
23345083,111.08,1023.00
23350116,111.04,1022.00
23355115,110.93,1023.00
23363606,111.08,1023.00
23367937,111.07,1023.00
23373655,111.01,1023.00
23380057,110.88,1023.00
23382816,111.05,1023.00
23388533,110.92,1023.00
23394919,110.91,1023.00
23402023,111.12,1023.00
23409153,111.20,1020.00
23411210,111.24,1023.00
23416910,111.05,1023.00
23421955,111.01,1023.00
23427719,111.10,1022.00
23434104,111.03,1022.00
23441209,110.99,1023.00
23448330,110.87,1023.00
23451088,111.10,1023.00
23456823,110.88,1023.00
23463927,111.11,1023.00
23475192,111.04,1023.00
23483701,111.10,1023.00
23491507,110.94,1023.00
23498594,110.99,1022.00
23505682,111.08,1023.00
23514139,111.10,1023.00
23521227,111.04,1023.00
